380725	삼성전자(주)	상장	권오현/윤부근/신종균	19690113	19750611	12	90,700	대기업	(443-742)경기도 수원시 영통구 매탄동 삼성로 129	031-200-1114	IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계	C26120다이오드, 트랜지스터 및 유사 반도체소자 제조업	우리은행	3
380954	현대자동차(주)	상장	정몽구/김충호/윤갑한	19691229	19740628	12	59,831	대기업	(137-938)서울 서초구 양재2동 231 현대기아자동차빌딩	02-3464-1114	자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업	C30121승용차 및 기타 여객용 자동차 제조업	한국외환은행	4
196275	LG전자(주)	상장	구본준	20020401	20020422	12	36,376	대기업	(150-721)서울 영등포구 여의도동 20 LG트윈타워	02-3777-1114	이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기	C26422이동전화기 제조업	우리은행	8
384267	엘지디스플레이(주)	상장	한상범	19850227	20040723	12	34,634	대기업	(150-721)서울특별시 영등포구 여의도동 여의대로 128 LG트윈타워 동관 12층	02-3777-1114	액정표시장치(TFT-LCD) 제조	C26211액정 평판 디스플레이 제조업	우리은행	5
380911	기아자동차(주)	상장	이형근/이삼웅	19441221	19730721	12	32,756	대기업	(137-130)서울 서초구 양재동 231	02-3464-1114	승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비	C30121승용차 및 기타 여객용 자동차 제조업	한국산업은행	5
810193	(주)케이티	상장	이석채	19820101	19981223	12	32,016	대기업	(463-711)경기 성남시 분당구 정자동 206	031-727-0114	유선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)	J61210유선통신업	국민은행	4
H82126	삼성디스플레이(주)	외감	김기남	20120401	0	12	26,911	대기업	(446-711)경기도 용인시 기흥구 삼성2로 95	031-535-1029	액정 평판 디스플레이 제조	C26211액정 평판 디스플레이 제조업	우리은행	0
382892	현대중공업(주)	상장	이재성/김외현	19731228	19990824	12	26,255	대기업	(682-813)울산 동구 전하 동 1	052-202-2114	선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템	C31111강선 건조업	한국외환은행	5
620068	롯데쇼핑(주)	상장	신격호/이인원/신헌	19700702	20060209	12	24,976	대기업	(100-721)서울 중구 소공동 1 롯데쇼핑센터빌딩	02-771-2500	백화점(의류,식품 및 잡화),할인점 운영/전자상거래	G47111백화점	우리은행	4
383511	에스케이하이닉스(주)	상장	최태원/박성욱	19491015	19961226	12	20,560	대기업	(467-734)경기도 이천시 부발읍 경충대로 2091	031-630-4114	반도체,컴퓨터,통신기기 제조,도매	C26120다이오드, 트랜지스터 및 유사 반도체소자 제조업	한국외환은행	6
400211	한국전력공사	상장	조환익	19610701	19890810	12	19,568	대기업	(135-882)서울 강남구 삼성1동 167	02-3456-3114	전력자원개발,발전,송전,전력용기자재확보	D35119기타 발전업	한국외환은행	7
990027	(주)대한항공	상장	조양호/지창훈/서용원	19620619	19660318	12	18,374	대기업	(157-712)서울 강서구 공항동 1370 대한항공	02-2656-7114	여객운송,화물운송/정비수리/기내식 제조,면세품 판매	H51100정기 항공 운송업	우리은행	7
370673	(주)포스코	상장	정준양/박기홍/김준식/장인환	19680325	19880610	12	17,623	대기업	(790-300)경북 포항시 남구 괴동동 1	054-220-0114	열연코일,냉연강판,후판,선재,스테인리스 제조	C24111제철업	우리은행	3
086314	한국지엠(주)	외감	세르지오호샤	20021010	0	12	17,134	대기업	(403-857)인천 부평구 청천2동 199-1	032-520-2114	승용차,여객용 자동차 부품 제조,도소매,무역/부동산 임대/자동차전문수리,검사대행	C30121승용차 및 기타 여객용 자동차 제조업	우리은행	6
H32072	(주)이마트	상장	정용진/허인철	20110501	20110610	12	16,340	대기업	(133-120)서울 성동구 성수동2가 333-16	02-380-5678	대형할인점	G47119기타 대형 종합 소매업	0	6
380180	삼성중공업(주)	상장	박대영	19740805	19940128	12	13,504	대기업	(137-857)서울 서초구 서초2동 1321-15 삼성생명 서초타워	02-3458-6119	선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업	C31111강선 건조업	우리은행	6
152019	대우조선해양(주)	상장	고재호	20001023	20010202	12	12,625	대기업	(100-180)서울 중구 다동 85	02-2129-0114	선박 제조	C31110선박 건조업	한국산업은행	6
380733	삼성전기(주)	상장	최치준	19730808	19790227	12	11,940	대기업	(443-743)경기 수원시 영통구 매탄3동 314 삼성전기	031-210-5114	영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일	C26299그외 기타 전자부품 제조업	우리은행	4
162209	(주)LG화학	상장	박진수/박영기/권영수	20010401	20010425	12	11,683	대기업	(150-721)서울 영등포구 여의도동 20 LG트윈타워	02-3777-1114	유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매	C20302합성수지 및 기타 플라스틱물질 제조업	우리은행	3
820717	삼성에스디에스(주)	외감	고순동	19850501	0	12	11,439	대기업	(135-918)서울 강남구 역삼2동 707-19 일옥빌딩 23층	02-3429-2114	소프트웨어 개발,정보기술교육,시스템통합,컨설팅,인터넷사업,인터넷비즈니스,전자상거래지원토털솔루션/사무용기계장비 도매,컴퓨터임대	J58222응용소프트웨어 개발 및 공급업	국민은행	2
183634	(주)케이티씨에스	상장	임덕래	20010702	20100916	12	9,838	대기업	(302-816)대전 서구 괴정동 367-17	042-604-5127-8	전화번호검색 데이타제공/콜센터 운영	J63991데이터베이스 및 온라인정보 제공업	국민은행	5
380687	LG이노텍(주)	상장	이웅범	19760224	20080724	12	9,755	대기업	(100-714)서울 중구 남대문로5가 541 서울스퀘어 19,20층	02-3777-1114	광소자 전자부품,소형모터 제조,도매/소프트웨어 개발	C26299그외 기타 전자부품 제조업	신한은행	8
163441	한국수력원자력(주)	외감	김균섭	20010402	0	12	9,331	대기업	(780-947)경상북도 경주시 성동동 화랑로 125	02-3456-2114	전기,전력자원개발,발전 및 관련사업,연구,기술개발	D35111원자력 발전업	한국산업은행	4
128372	(주)아워홈	외감	이승우/구자학	20000301	0	12	9,266	대기업	(135-934)서울 강남구 역삼1동 825-2 메리츠타워 4층	02-2175-4114	집단급식/삼각김밥,육지동물고기,수산동물,과실채소 가공,저장처리,도매,무역	I56120기관구내식당업	우리은행	3
183424	(주)케이티스	상장	전인성	20010627	20101217	12	9,197	대기업	(150-931)서울 영등포구 여의도동 28-2 KT빌딩 10층	02-3215-2053	전화번호,생활정보 안내서비스,전화번호 데이터관리,정보제공	J63999그외 기타 정보 서비스업	한국외환은행	4
370142	현대제철(주)	상장	박승하/우유철	19641010	19870523	12	8,957	대기업	(401-800)인천 동구 송현3동 1-10	032-760-2114	H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매	C24121열간 압연 및 압출 제품 제조업	신한은행	6
711187	아시아나항공(주)	상장	윤영두	19880217	20080328	12	8,286	대기업	(157-713)서울 강서구 오쇠동 47 아시아나항공	02-2669-3114	항공운송(여객운송,화물운송)/항공기 제조,정비수리	H51100정기 항공 운송업	한국산업은행	8
320218	(주)효성	상장	조석래/이상운	19661103	19730630	12	7,932	대기업	(121-805)서울 마포구 공덕2동 450 공덕빌딩	02-707-7000	스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사	C20501합성섬유 제조업	우리은행	6
